sr no,player,base price,winning bid
1 ,Noor Ahmad  ,"2,00,00,000 ","10,00,00,000 "
2 ,Ravichandaran Ashwin,"2,00,00,000 ","9,75,00,000 "
3 ,Devon Conway  ,"2,00,00,000 ","6,25,00,000 "
4 ,Syed Khaleel Ahmed,"2,00,00,000 ","4,80,00,000 "
5 ,Rachin Ravindra  ,"1,50,00,000 ","4,00,00,000 "
6 ,Anshul Kamboj,"30,00,000 ","3,40,00,000 "
7 ,Rahul Tripathi,"75,00,000 ","3,40,00,000 "
8 ,Sam Curran  ,"2,00,00,000 ","2,40,00,000 "
9 ,Gurjapneet Singh,"30,00,000 ","2,20,00,000 "
10 ,Nathan Ellis  ,"1,25,00,000 ","2,00,00,000 "
11 ,Deepak Hooda,"75,00,000 ","1,70,00,000 "
12 ,Jamie Overton  ,"1,50,00,000 ","1,50,00,000 "
13 ,Vijay Shankar,"30,00,000 ","1,20,00,000 "
14 ,Vansh Bedi,"30,00,000 ","55,00,000 "
15 ,Andre Siddarth,"30,00,000 ","30,00,000 "
16 ,Shreyas Gopal,"30,00,000 ","30,00,000 "
17 ,Ramakrishna Ghosh,"30,00,000 ","30,00,000 "
18 ,Kamlesh Nagarkoti,"30,00,000 ","30,00,000 "
19 ,Mukesh Choudhary,"30,00,000 ","30,00,000 "
20 ,Shaik Rasheed,"30,00,000 ","30,00,000 "
