id,team name,funds remaining,overseas players,Total players,team logo
0,CSK,"₹5,00,000",7,25,https://documents.iplt20.com/ipl/franchises/1731684872_1702465555_CSKroundbig.png
1,DC,"₹20,00,000",7,23,https://documents.iplt20.com/ipl/franchises/1731685245_1702465727_DCroundbig.png
2,GT,"₹15,00,000",7,25,https://documents.iplt20.com/ipl/franchises/1731685262_1702465836_GTroundbig.png
3,KKR,"₹5,00,000",8,21,https://documents.iplt20.com/ipl/franchises/1731685297_1702465948_KKRroundbig.png
4,LSG,"₹10,00,000",6,24,https://documents.iplt20.com/ipl/franchises/1731684320_1702466030_LSGroundbig.png
5,MI,"₹20,00,000",8,23,https://documents.iplt20.com/ipl/franchises/1731684308_1702466090_MIroundbig.png
6,PBKS,"₹35,00,000",8,25,https://documents.iplt20.com/ipl/franchises/1731685190_1702466143_PBKSroundbig.png
7,RR,"₹30,00,000",6,20,https://documents.iplt20.com/ipl/franchises/1731685089_1702466295_RRroundbig.png
8,RCB,"₹75,00,000",8,22,https://documents.iplt20.com/ipl/franchises/1731684948_1702466217_RCBroundbig.png
9,SRH,"₹20,00,000",7,20,https://documents.iplt20.com/ipl/franchises/1731685022_1702466366_SRHroundbig.png
