id,PLAYER,BASE PRICE,Capped/Uncapped
0,David Warner  ,"2,00,00,000",Capped
1,Jonny Bairstow   ,"2,00,00,000",Capped
2,Kane Williamson  ,"2,00,00,000",Capped
3,Daryl Mitchell  ,"2,00,00,000",Capped
4,Shardul Thakur,"2,00,00,000",Capped
5,Mujeeb Ur Rahman  ,"2,00,00,000",Capped
6,Adil Rashid   ,"2,00,00,000",Capped
7,Finn Allen  ,"2,00,00,000",Capped
8,Ben Duckett  ,"2,00,00,000",Capped
9,Rilee Rossouw  ,"2,00,00,000",Capped
10,James Vince  ,"2,00,00,000",Capped
11,Tom Banton  ,"2,00,00,000",Capped
12,Mustafizur Rahman  ,"2,00,00,000",Capped
13,Naveen  Ul Haq  ,"2,00,00,000",Capped
14,Umesh Yadav,"2,00,00,000",Capped
15,Tabraiz Shamsi  ,"2,00,00,000",Capped
16,Evin Lewis  ,"2,00,00,000",Capped
17,Steve Smith  ,"2,00,00,000",Capped
18,Gus Atkinson  ,"2,00,00,000",Capped
19,Tom Curran  ,"2,00,00,000",Capped
20,Matt Henry  ,"2,00,00,000",Capped
21,Alzarri Joseph  ,"2,00,00,000",Capped
22,Rassie Van Der Dussen  ,"2,00,00,000",Capped
23,Sean Abbott  ,"2,00,00,000",Capped
24,Adam Milne  ,"2,00,00,000",Capped
25,Jason Holder  ,"2,00,00,000",Capped
26,Chris Jordan  ,"2,00,00,000",Capped
27,Tymal Mills  ,"2,00,00,000",Capped
28,Akeal Hosein  ,"1,50,00,000",Capped
29,Sam Billings   ,"1,50,00,000",Capped
30,Mark Chapman  ,"1,50,00,000",Capped
31,Mohammad Nabi  ,"1,50,00,000",Capped
32,Tom Latham  ,"1,50,00,000",Capped
33,Kyle Mayers  ,"1,50,00,000",Capped
34,Jason Behrendorff  ,"1,50,00,000",Capped
35,Jhye Richardson  ,"1,50,00,000",Capped
36,Michael Bracewell  ,"1,50,00,000",Capped
37,William O'Rourke  ,"1,50,00,000",Capped
38,Jimmy Neesham  ,"1,50,00,000",Capped
39,Daniel Sams  ,"1,50,00,000",Capped
40,Riley Meredith  ,"1,50,00,000",Capped
41,Daniel Worrall  ,"1,50,00,000",Capped
42,Matthew Potts  ,"1,50,00,000",Capped
43,Tim Southee  ,"1,50,00,000",Capped
44,John Turner  ,"1,50,00,000",Capped
45,Kyle Jamieson  ,"1,50,00,000",Capped
46,Shai Hope  ,"1,25,00,000",Capped
47,Jordan Cox  ,"1,25,00,000",Capped
48,Tim Seifert  ,"1,25,00,000",Capped
49,Nandre Burger  ,"1,25,00,000",Capped
50,Sikandar Raza  ,"1,25,00,000",Capped
51,Will  Young  ,"1,25,00,000",Capped
52,Obed McCoy  ,"1,25,00,000",Capped
53,Lance Morris  ,"1,25,00,000",Capped
54,Ashton Agar  ,"1,25,00,000",Capped
55,James Anderson  ,"1,25,00,000",Capped
56,Dominic Drakes  ,"1,25,00,000",Capped
57,Matthew Forde  ,"1,25,00,000",Capped
58,Keemo Paul  ,"1,25,00,000",Capped
59,Mayank Agarawal,"1,00,00,000",Capped
60,Alex Carey  ,"1,00,00,000",Capped
61,Ashton Turner  ,"1,00,00,000",Capped
62,Krishnappa Gowtham,"1,00,00,000",Capped
63,Gulbadin Naib  ,"1,00,00,000",Capped
64,Taskin Ahmed  ,"1,00,00,000",Capped
65,Chris Green  ,"1,00,00,000",Capped
66,Shakib Al Hasan  ,"1,00,00,000",Capped
67,Mehidy Hasan Miraz  ,"1,00,00,000",Capped
68,Benjamin Sears  ,"1,00,00,000",Capped
69,Dan Lawrence  ,"1,00,00,000",Capped
70,Nathan Smith  ,"1,00,00,000",Capped
71,David Payne  ,"1,00,00,000",Capped
72,Wayne Parnell  ,"1,00,00,000",Capped
73,Waqar Salamkheil  ,"75,00,000",Capped
74,Prithvi Shaw,"75,00,000",Capped
75,K.S Bharat,"75,00,000",Capped
76,Keshav Maharaj  ,"75,00,000",Capped
77,Vijayakanth Viyaskanth  ,"75,00,000",Capped
78,Dewald Brevis  ,"75,00,000",Capped
79,Ben McDermott  ,"75,00,000",Capped
80,Kusal Mendis  ,"75,00,000",Capped
